territory,year,imcv_value,source,notes
España,2019,7.20,INE-IMCV,PLANTILLA: sustituir por valores oficiales publicados
España,2020,7.10,INE-IMCV,PLANTILLA: sustituir por valores oficiales publicados
España,2021,7.15,INE-IMCV,PLANTILLA: sustituir por valores oficiales publicados
España,2022,7.25,INE-IMCV,PLANTILLA: sustituir por valores oficiales publicados
España,2023,7.30,INE-IMCV,PLANTILLA: sustituir por valores oficiales publicados
España,2024,7.35,INE-IMCV,PLANTILLA: sustituir por valores oficiales publicados
Andalucía,2024,7.00,INE-IMCV,PLANTILLA territorial opcional
Aragón,2024,7.40,INE-IMCV,PLANTILLA territorial opcional
Asturias,2024,7.20,INE-IMCV,PLANTILLA territorial opcional
Illes Balears,2024,7.45,INE-IMCV,PLANTILLA territorial opcional
Canarias,2024,6.90,INE-IMCV,PLANTILLA territorial opcional
Cantabria,2024,7.35,INE-IMCV,PLANTILLA territorial opcional
Castilla y León,2024,7.25,INE-IMCV,PLANTILLA territorial opcional
Castilla-La Mancha,2024,7.10,INE-IMCV,PLANTILLA territorial opcional
Cataluña,2024,7.50,INE-IMCV,PLANTILLA territorial opcional
Comunitat Valenciana,2024,7.20,INE-IMCV,PLANTILLA territorial opcional
Extremadura,2024,6.95,INE-IMCV,PLANTILLA territorial opcional
Galicia,2024,7.15,INE-IMCV,PLANTILLA territorial opcional
Madrid,2024,7.55,INE-IMCV,PLANTILLA territorial opcional
Murcia,2024,7.05,INE-IMCV,PLANTILLA territorial opcional
Navarra,2024,7.60,INE-IMCV,PLANTILLA territorial opcional
País Vasco,2024,7.65,INE-IMCV,PLANTILLA territorial opcional
La Rioja,2024,7.40,INE-IMCV,PLANTILLA territorial opcional
Ceuta,2024,6.80,INE-IMCV,PLANTILLA territorial opcional
Melilla,2024,6.75,INE-IMCV,PLANTILLA territorial opcional
