month,vulnerables,no_solicitantes,pendiente_grado,sin_grado,con_derecho,con_pia,prestacion_efectiva,lista_espera,grado_I,grado_II,grado_III,vuln_sanitaria,edad_65_74,edad_75_84,edad_85_plus,ocupados_residencial,ocupados_dia,ocupados_resto,cupo_residencial,cupo_dia,cupo_resto,cupo_atendidas,rechazos_capacidad,prevencion,teleasistencia,ayuda_domicilio,centro_dia_noche,atencion_residencial,pev,cuidados_familiares,asistencia_personal
0,6387,6387,0,0,0,0,0,0,0,0,0,4135,2972,2311,1104,0,0,0,544,325,5398,4407,0,0,0,0,0,0,0,0,0
1,6387,6062,325,0,0,0,0,0,0,0,0,4135,2972,2311,1104,0,0,0,544,325,5398,4407,0,0,0,0,0,0,0,0,0
2,6387,5759,628,0,0,0,0,0,0,0,0,4135,2972,2311,1104,0,0,0,544,325,5398,4407,0,0,0,0,0,0,0,0,0
3,6387,5478,909,0,0,0,0,0,0,0,0,4135,2972,2311,1104,0,0,0,544,325,5398,4407,0,0,0,0,0,0,0,0,0
4,6387,5217,1170,0,0,0,0,0,0,0,0,4135,2972,2311,1104,0,0,0,544,325,5398,4407,0,0,0,0,0,0,0,0,0
5,6387,4959,1428,0,0,0,0,0,0,0,0,4135,2972,2311,1104,0,0,0,544,325,5398,4407,0,0,0,0,0,0,0,0,0
6,6387,4745,1642,0,0,0,0,0,0,0,0,4135,2972,2311,1104,0,0,0,544,325,5398,4407,0,0,0,0,0,0,0,0,0
7,6387,4514,1873,0,0,0,0,0,0,0,0,4135,2972,2311,1104,0,0,0,544,325,5398,4407,0,0,0,0,0,0,0,0,0
8,6387,4329,2058,0,0,0,0,0,0,0,0,4135,2972,2311,1104,0,0,0,544,325,5398,4407,0,0,0,0,0,0,0,0,0
9,6387,4141,2142,17,87,0,0,0,36,31,20,4135,2972,2311,1104,0,0,0,544,325,5398,4407,0,0,0,0,0,0,0,0,0
10,6387,3938,2158,61,191,39,0,0,89,84,57,4135,2972,2311,1104,0,0,0,544,325,5398,4407,0,0,0,0,0,0,0,0,0
11,6387,3748,2141,99,275,124,0,0,143,146,110,4135,2972,2311,1104,0,0,0,544,325,5398,4407,0,0,0,0,0,0,0,0,0
12,6387,3572,2084,143,358,168,62,0,204,228,156,4135,2972,2311,1104,5,5,52,544,325,5398,4407,0,0,21,10,5,5,3,18,0
13,6387,3401,2028,189,399,206,164,0,275,285,209,4135,2972,2311,1104,18,11,135,544,325,5398,4407,0,6,42,20,11,18,15,51,1
14,6387,3249,1956,236,415,236,295,0,329,351,266,4135,2972,2311,1104,28,16,251,544,325,5398,4407,0,10,65,45,16,28,31,99,1
15,6387,3085,1888,281,421,255,457,0,411,419,303,4135,2972,2311,1104,39,27,391,544,325,5398,4407,0,17,104,82,27,39,45,141,2
16,6387,2932,1823,326,438,240,628,0,471,486,349,4135,2972,2311,1104,59,37,532,544,325,5398,4407,0,23,141,100,37,59,65,201,2
17,6387,2812,1723,367,433,250,802,0,544,540,401,4135,2972,2311,1104,79,46,677,544,325,5398,4407,0,26,180,130,46,79,89,250,2
18,6387,2669,1641,403,444,258,972,0,634,592,448,4135,2972,2311,1104,93,53,826,544,325,5398,4407,0,35,223,157,53,93,107,300,4
19,6387,2538,1587,446,406,249,1161,0,691,640,485,4135,2972,2311,1104,110,62,989,544,325,5398,4407,0,38,283,186,62,110,126,352,4
20,6387,2438,1476,488,418,233,1334,0,756,705,524,4135,2972,2311,1104,120,68,1146,544,325,5398,4407,0,53,323,214,68,120,144,408,4
21,6387,2314,1433,510,384,233,1513,0,805,765,560,4135,2972,2311,1104,131,80,1302,544,325,5398,4407,0,58,366,249,80,131,161,464,4
