simulation_id,scenario_id,split
1,1,validation
2,2,train
3,3,train
4,4,test
5,5,test
6,6,train
7,7,train
8,8,train
9,9,train
10,10,train
11,11,train
12,12,test
13,13,train
14,14,test
15,15,test
16,16,train
17,17,train
18,18,test
19,19,train
20,20,train
21,21,train
22,22,train
23,23,train
24,24,train
25,25,train
26,26,validation
27,27,train
28,28,validation
29,29,test
30,30,validation
31,31,train
32,32,test
33,33,train
34,34,train
35,35,train
36,36,test
37,37,train
38,38,train
39,39,train
40,40,train
41,41,train
42,42,train
43,43,train
44,44,train
45,45,train
46,46,train
47,47,train
48,48,train
49,49,train
50,50,train
51,51,train
52,52,train
53,53,train
54,54,validation
55,55,test
56,56,train
57,57,train
58,58,validation
59,59,train
60,60,train
61,61,train
62,62,train
63,63,train
64,64,train
65,65,validation
66,66,train
67,67,train
68,68,train
69,69,train
70,70,test
71,71,train
72,72,validation
73,73,train
74,74,train
75,75,train
76,76,test
77,77,train
78,78,validation
79,79,train
80,80,train
81,81,train
82,82,test
83,83,train
84,84,train
85,85,validation
86,86,train
87,87,test
88,88,train
89,89,validation
90,90,validation
91,91,train
92,92,train
93,93,train
94,94,validation
95,95,test
96,96,validation
97,97,train
98,98,validation
99,99,train
100,100,train
101,101,extrapolation
102,102,extrapolation
103,103,extrapolation
104,104,extrapolation
105,105,extrapolation
106,106,extrapolation
107,107,extrapolation
108,108,extrapolation
109,109,extrapolation
110,110,extrapolation
111,111,extrapolation
112,112,extrapolation
113,113,extrapolation
114,114,extrapolation
115,115,extrapolation
