simulation_id,source,target,relation_type,weight
1,sistema,vulnerables,hierarchy,6387.0
1,vulnerables,no_solicitantes,hierarchy,930.0
1,no_solicitantes,pendiente_grado,administrative_transition,177.0
1,pendiente_grado,sin_grado,administrative_transition,1360.0
1,pendiente_grado,con_derecho,administrative_transition,136.0
1,con_derecho,con_pia,administrative_transition,38.0
1,con_pia,prestacion_efectiva,administrative_transition,2708.0
1,con_pia,lista_espera,administrative_transition,1038.0
1,con_derecho,grado_I,degree_assignment,1491.0
1,con_derecho,grado_II,degree_assignment,1444.0
1,con_derecho,grado_III,degree_assignment,985.0
1,prestacion_efectiva,teleasistencia,benefit_assignment,755.0
1,prestacion_efectiva,ayuda_domicilio,benefit_assignment,577.0
1,prestacion_efectiva,atencion_residencial,benefit_assignment,264.0
1,prestacion_efectiva,cuidados_familiares,benefit_assignment,1112.0
2,sistema,vulnerables,hierarchy,6387.0
2,vulnerables,no_solicitantes,hierarchy,790.0
2,no_solicitantes,pendiente_grado,administrative_transition,169.0
2,pendiente_grado,sin_grado,administrative_transition,728.0
2,pendiente_grado,con_derecho,administrative_transition,172.0
2,con_derecho,con_pia,administrative_transition,38.0
2,con_pia,prestacion_efectiva,administrative_transition,3017.0
2,con_pia,lista_espera,administrative_transition,1473.0
2,con_derecho,grado_I,degree_assignment,1704.0
2,con_derecho,grado_II,degree_assignment,1822.0
2,con_derecho,grado_III,degree_assignment,1174.0
2,prestacion_efectiva,teleasistencia,benefit_assignment,862.0
2,prestacion_efectiva,ayuda_domicilio,benefit_assignment,638.0
2,prestacion_efectiva,atencion_residencial,benefit_assignment,352.0
2,prestacion_efectiva,cuidados_familiares,benefit_assignment,1165.0
3,sistema,vulnerables,hierarchy,6387.0
3,vulnerables,no_solicitantes,hierarchy,847.0
3,no_solicitantes,pendiente_grado,administrative_transition,206.0
3,pendiente_grado,sin_grado,administrative_transition,1375.0
3,pendiente_grado,con_derecho,administrative_transition,147.0
3,con_derecho,con_pia,administrative_transition,26.0
3,con_pia,prestacion_efectiva,administrative_transition,2386.0
3,con_pia,lista_espera,administrative_transition,1400.0
3,con_derecho,grado_I,degree_assignment,1340.0
3,con_derecho,grado_II,degree_assignment,1542.0
3,con_derecho,grado_III,degree_assignment,1077.0
3,prestacion_efectiva,teleasistencia,benefit_assignment,705.0
3,prestacion_efectiva,ayuda_domicilio,benefit_assignment,522.0
3,prestacion_efectiva,atencion_residencial,benefit_assignment,241.0
3,prestacion_efectiva,cuidados_familiares,benefit_assignment,918.0
4,sistema,vulnerables,hierarchy,6387.0
4,vulnerables,no_solicitantes,hierarchy,644.0
4,no_solicitantes,pendiente_grado,administrative_transition,157.0
4,pendiente_grado,sin_grado,administrative_transition,1041.0
4,pendiente_grado,con_derecho,administrative_transition,135.0
4,con_derecho,con_pia,administrative_transition,34.0
4,con_pia,prestacion_efectiva,administrative_transition,2916.0
4,con_pia,lista_espera,administrative_transition,1460.0
4,con_derecho,grado_I,degree_assignment,1570.0
4,con_derecho,grado_II,degree_assignment,1713.0
4,con_derecho,grado_III,degree_assignment,1262.0
4,prestacion_efectiva,teleasistencia,benefit_assignment,854.0
4,prestacion_efectiva,ayuda_domicilio,benefit_assignment,584.0
4,prestacion_efectiva,atencion_residencial,benefit_assignment,289.0
4,prestacion_efectiva,cuidados_familiares,benefit_assignment,1189.0
5,sistema,vulnerables,hierarchy,6387.0
5,vulnerables,no_solicitantes,hierarchy,818.0
5,no_solicitantes,pendiente_grado,administrative_transition,194.0
5,pendiente_grado,sin_grado,administrative_transition,1069.0
5,pendiente_grado,con_derecho,administrative_transition,148.0
5,con_derecho,con_pia,administrative_transition,31.0
5,con_pia,prestacion_efectiva,administrative_transition,2909.0
5,con_pia,lista_espera,administrative_transition,1218.0
5,con_derecho,grado_I,degree_assignment,1611.0
5,con_derecho,grado_II,degree_assignment,1525.0
5,con_derecho,grado_III,degree_assignment,1170.0
5,prestacion_efectiva,teleasistencia,benefit_assignment,833.0
5,prestacion_efectiva,ayuda_domicilio,benefit_assignment,555.0
5,prestacion_efectiva,atencion_residencial,benefit_assignment,310.0
5,prestacion_efectiva,cuidados_familiares,benefit_assignment,1211.0
6,sistema,vulnerables,hierarchy,6387.0
6,vulnerables,no_solicitantes,hierarchy,775.0
6,no_solicitantes,pendiente_grado,administrative_transition,197.0
6,pendiente_grado,sin_grado,administrative_transition,822.0
6,pendiente_grado,con_derecho,administrative_transition,148.0
6,con_derecho,con_pia,administrative_transition,46.0
6,con_pia,prestacion_efectiva,administrative_transition,3319.0
