simulation_id,target_rate_prestacion_efectiva,target_rate_lista_espera,target_rate_sin_grado,target_final_prestacion_efectiva,target_final_lista_espera,target_final_sin_grado,target_month_prestacion_effectiva_exceeds_no_solicitantes
1,0.42398622201346486,0.16251761390324096,0.21293251917958353,2708,1038,1360,39
2,0.4723657429152967,0.23062470643494598,0.1139815249726006,3017,1473,728,35
3,0.3735713167371223,0.21919524033192422,0.2152810396117113,2386,1400,1375,39
4,0.4565523720056365,0.22858932206043525,0.1629873179896665,2916,1460,1041,33
5,0.45545639580397684,0.19069985908877407,0.167371222796305,2909,1218,1069,35
6,0.5196492876154689,0.1690934711131987,0.1286989196806012,3319,1080,822,33
7,0.40864255519023013,0.17801784875528417,0.21324565523720057,2610,1137,1362,38
8,0.46923438233912634,0.20291216533583842,0.15155785188664475,2997,1296,968,34
9,0.39235948019414435,0.2044778456239236,0.2116799749491154,2506,1306,1352,38
10,0.5503366212619383,0.16533583842179428,0.13918897761077187,3515,1056,889,29
11,0.5132299984343197,0.15688116486613435,0.17942696101456082,3278,1002,1146,32
12,0.5265382808830437,0.16658838265226242,0.153749804289964,3363,1064,982,31
13,0.4404258650383592,0.14967903554094253,0.20479098168154064,2813,956,1308,37
14,0.49459840300610614,0.17880068889932677,0.17817441678409268,3159,1142,1138,31
15,0.45107249099733837,0.1340222326600908,0.21434163143886018,2881,856,1369,36
16,0.44293095349929545,0.2509785501800532,0.13918897761077187,2829,1603,889,34
17,0.529356505401597,0.1745733521214968,0.09989040237983404,3381,1115,638,33
18,0.42649131047440114,0.18850790668545483,0.20118991701894473,2724,1204,1285,36
19,0.4653201816189134,0.23782683576013777,0.12478471896038829,2972,1519,797,34
20,0.5140128385783623,0.22060435259120087,0.10959762016596211,3283,1409,700,32
21,0.452481603256615,0.2525442304681384,0.10724909973383435,2890,1613,685,35
22,0.4111476436511664,0.23704399561609518,0.17864412087051823,2626,1514,1141,36
23,0.4886488179113825,0.20510411773915765,0.12462815093157976,3121,1310,796,34
24,0.3962736809143573,0.21152340692030688,0.1925786754344763,2531,1351,1230,39
25,0.5393768592453421,0.15641146077970877,0.09801158603413183,3445,999,626,34
26,0.4513856270549554,0.24925630186315953,0.14059808987004854,2883,1592,898,33
27,0.42195083763895413,0.1983716925003914,0.21762956004383904,2695,1267,1390,35
28,0.511507750117426,0.15891654924064505,0.17692187255362454,3267,1015,1130,31
29,0.4336934397995929,0.14780021919524033,0.2398622201346485,2770,944,1532,36
30,0.5010176921872553,0.19758885235634882,0.09785501800532331,3200,1262,625,34
31,0.4650070455612964,0.19946766870205104,0.15077501174260216,2970,1274,963,34
32,0.4253953342727415,0.20776577422890247,0.21402849538124316,2717,1327,1367,33
33,0.43416314388601845,0.16502270236417724,0.22780648191639266,2773,1054,1455,35
