simulation_id,initial_vulnerable_population,simulation_months,prob_solicitud_mensual,prob_solicitud_si_vulnerable,prob_resolucion_grado_mensual,prob_reconocimiento_grado,prob_con_derecho,prob_pia_mensual,prob_pia,prob_prestacion_efectiva,prob_lista_espera,factor_capacidad,cupo_residencial,cupo_dia,cupo_resto,cupo_atendidas,meses_min_pendiente_grado,meses_min_tramite_prestacion,prob_grado_I,prob_grado_II,prob_grado_III,pension_media_nacional,prop_nacional_65,prob_prevencion,prob_teleasistencia,prob_ayuda_domicilio,prob_centro_dia_noche,prob_atencion_residencial,prob_pev,prob_cuidados_familiares,prob_asistencia_personal,scenario_id,regime,seed_escenario,estrato_capacidad,estrato_grado_III,escenario_historico,escenario_contrafactual
1,6387,60,0.047662106162457446,0.05530388011482551,0.25499470699202764,0.25499470699202764,0.7972255451144517,0.3764122237901134,0.3764122237901134,0.9841,0.015900000000000025,0.8147321958129699,443,265,4398,3591,8,1,0.2143841285906756,0.6383232403040311,0.1472926311052933,1439.11,0.2015,3.25765540359468e-05,0.38224517413052433,0.1797251688549559,0.07285709977790697,0.02559002999495263,0.04034430560210295,0.2992056393224111,5.763110299483287e-09,1,interpolation,43,recorte,base,False,True
2,6387,60,0.028485933868064618,0.03915527276863941,0.4771823773315343,0.4771823773315343,0.7992838168676137,0.5377564695805921,0.5377564695805921,0.9841,0.015900000000000025,1.0081446508419787,548,328,5442,4443,11,3,0.23567505191653865,0.43289269387035945,0.33143225421310174,1439.11,0.2015,0.020824177557267995,0.3111054349414627,0.0649956489840934,0.0383065546557375,0.12954147848185338,0.05964999554247395,0.37338963345764614,0.002187076379464774,2,interpolation,44,entorno_2024,alto,True,False
3,6387,60,0.032489875288780286,0.03762470518822603,0.44777096075264944,0.44777096075264944,0.7989066729192299,0.3842917701700198,0.3842917701700198,0.9841,0.015900000000000025,0.8455240849043859,460,275,4564,3726,5,1,0.37377621720314713,0.394263291094749,0.23196049170210373,1439.11,0.2015,0.1601578262084424,0.21433243873254787,0.1561057931387364,0.006873592096683206,0.13365882798454176,0.16191792801596075,0.1669534216420093,1.7218107814856203e-07,3,interpolation,45,recorte,base,False,True
4,6387,60,0.027236827379723445,0.06856931473620098,0.4799992824830319,0.4799992824830319,0.801521624305649,0.4644477175257619,0.4644477175257619,0.9841,0.015900000000000025,0.8337468695569294,454,271,4501,3674,8,3,0.3584968415885884,0.5205340651444867,0.12096909326692495,1439.11,0.2015,0.0012068590600918469,0.44984079598208065,0.09715123028740305,0.07959674132577288,0.03623590547448319,0.02709332691107605,0.3008753525790163,0.007999788380076006,4,interpolation,46,recorte,base,False,True
5,6387,60,0.03812263493282861,0.05921066681488674,0.30404214358039855,0.30404214358039855,0.7994662107135847,0.46194744715040287,0.46194744715040287,0.9841,0.015900000000000025,0.8232190574299872,448,268,4444,3628,6,5,0.24881511524112945,0.6058411720928345,0.14534371266603613,1439.11,0.2015,0.1573197580568148,0.19420866966306244,0.18848051687010092,0.021632951284041437,0.08274290281311548,0.026765793862087918,0.3288494074447658,6.011246699747678e-12,5,interpolation,47,recorte,base,False,True
6,6387,60,0.03051304251860384,0.06161034257444275,0.44014689112946986,0.44014689112946986,0.8031301183700358,0.508705291350642,0.508705291350642,0.9841,0.015900000000000025,0.8072910464530834,439,262,4358,3558,8,2,0.3165315102471259,0.37760298222635064,0.30586550752652336,1439.11,0.2015,0.1300156805815021,0.3871778007191275,0.08609798873438412,0.042320750752227604,0.0860268304464181,0.04492769484748683,0.2211673239158825,0.002265930002971218,6,interpolation,48,recorte,alto,False,True
7,6387,60,0.04102523460036707,0.06270459735519437,0.40149772060362965,0.40149772060362965,0.7965224085385197,0.4674964508755945,0.4674964508755945,0.9841,0.015900000000000025,0.9954021347167632,541,324,5373,4387,10,4,0.4833712519100745,0.41575467447915426,0.10087407361077125,1439.11,0.2015,0.0474703291199918,0.25800448634790607,0.18545606002532974,0.033271405277310574,0.19159723151431626,0.13941175741626763,0.14477489736584487,1.3832933033058906e-05,7,interpolation,49,entorno_2024,base,True,False
8,6387,60,0.04928573572592809,0.04914164693886808,0.24525333296341967,0.24525333296341967,0.8037996175084685,0.3464385197325781,0.3464385197325781,0.9841,0.015900000000000025,1.1966619510303271,651,389,6460,5274,11,4,0.33343902106408474,0.3648621283744142,0.3016988505615011,1439.11,0.2015,0.050558137068486615,0.08067752523914508,0.03335368309041715,0.039952929053554666,0.1154843093868119,0.16861573937570948,0.5102235507910523,0.0011341259948226775,8,interpolation,50,expansion,alto,False,True
9,6387,60,0.02413362527118974,0.07028520920098733,0.3681270516547406,0.3681270516547406,0.7938289580498903,0.34181804746210004,0.34181804746210004,0.9841,0.015900000000000025,0.8915737865587915,485,290,4813,3929,9,3,0.37306076279336386,0.31758370066734387,0.30935553653929226,1439.11,0.2015,0.0376225098761048,0.2160252346034662,0.15491687071883506,0.24438349011515859,0.033985864084374866,0.053531850767005944,0.2568062770508939,0.002727902784160806,9,interpolation,51,recorte,alto,False,True
10,6387,60,0.03608177755329432,0.0587495455733115,0.21340866743382744,0.21340866743382744,0.7966429871878189,0.4856663851304133,0.4856663851304133,0.9841,0.015900000000000025,0.9723801967902577,529,316,5249,4285,8,6,0.23843955799910943,0.4412087036001625,0.32035173840072784,1439.11,0.2015,0.22389478332453017,0.08714627915281782,0.058523022707805246,0.24029920434262425,0.10592370096463515,0.06835453720900732,0.21585786055030487,6.117482751057647e-07,10,interpolation,52,entorno_2024,alto,True,False
11,6387,60,0.022237674732661503,0.0456477475684255,0.3549970542083196,0.3549970542083196,0.8059183098319259,0.3319028460753428,0.3319028460753428,0.9841,0.015900000000000025,1.1492899693886747,625,374,6204,5065,6,2,0.34502318789347375,0.36068329137199673,0.29429352073452947,1439.11,0.2015,0.008632369268938437,0.20376556239753324,0.12131608625789549,0.08964228656946131,0.05223863566285498,0.2574583012481723,0.26693020065483425,1.655794030994634e-05,11,interpolation,53,expansion,base,False,True
12,6387,60,0.03451290784204425,0.07146332328010788,0.44420406667266016,0.44420406667266016,0.7954269759252713,0.3750843943864555,0.3750843943864555,0.9841,0.015900000000000025,1.0228396187891253,556,332,5521,4508,11,2,0.3897037475894327,0.3162131421074697,0.2940831103030977,1439.11,0.2015,0.08670061801990582,0.26090803093323867,0.04584936002862658,0.033876873112452716,0.2334390374258116,0.04823499302978179,0.290991043121506,4.4328676867612707e-08,12,interpolation,54,entorno_2024,base,True,False
13,6387,60,0.03739400815386626,0.03696670686771569,0.29619967657086554,0.29619967657086554,0.797644201674399,0.38909257605331615,0.38909257605331615,0.9841,0.015900000000000025,1.1944029356754506,650,388,6447,5264,12,2,0.2130706153188183,0.4843964346714625,0.30253295000971925,1439.11,0.2015,0.020618692974853005,0.2438887839558768,0.18321074306405202,0.0183813652933669,0.08895990160252534,0.15654744280736177,0.28839306998540976,3.165543472453787e-10,13,interpolation,55,expansion,alto,False,True
14,6387,60,0.02467522939067382,0.04156064880602386,0.45142229481792884,0.45142229481792884,0.7999562656269449,0.51172411618488,0.51172411618488,0.9841,0.015900000000000025,1.0665635545383445,580,347,5757,4700,5,5,0.49199932067884233,0.32097489784061556,0.1870257814805419,1439.11,0.2015,0.013628415454081862,0.10592322961185756,0.2827706892760705,0.13932650151097867,0.058371712756063426,0.0747661549732773,0.3252132964165295,1.1411616745864213e-12,14,interpolation,56,entorno_2024,base,False,True
15,6387,60,0.04075427799566926,0.040175470148796515,0.4000629951474983,0.4000629951474983,0.8040490461366152,0.49682447515226524,0.49682447515226524,0.9841,0.015900000000000025,1.153905029234347,628,375,6229,5085,6,4,0.5117383507799674,0.27349645393412925,0.21476519528590324,1439.11,0.2015,0.120411771454406,0.3005788029784432,0.04835587627448409,0.09655553311340719,0.15706978429016405,0.12047078954341842,0.1565574421322228,2.1345425839555869e-10,15,interpolation,57,expansion,base,False,True
16,6387,60,0.04025752649089018,0.05083167428431844,0.3523438821062945,0.3523438821062945,0.803260602409039,0.4201287348553019,0.4201287348553019,0.9841,0.015900000000000025,1.003516800097231,546,326,5417,4422,6,3,0.30504240937443877,0.41089994563388893,0.28405764499167224,1439.11,0.2015,0.009455242777561374,0.25454293278874685,0.04910062077564126,0.07054624243313147,0.16460474492107766,0.12314141304775307,0.32860880322947567,2.661273894453448e-11,16,interpolation,58,entorno_2024,base,True,False
